cells,SC3-00,UMAP_KMEANS-00,TSNE_KMEANS-00,SC3-05,UMAP_KMEANS-05,TSNE_KMEANS-05,SC3-10,UMAP_KMEANS-10,TSNE_KMEANS-10,SC3-15,UMAP_KMEANS-15,TSNE_KMEANS-15,SC3-20,UMAP_KMEANS-20,TSNE_KMEANS-20,SC3-25,UMAP_KMEANS-25,TSNE_KMEANS-25,SC3-30,UMAP_KMEANS-30,TSNE_KMEANS-30,SC3-35,UMAP_KMEANS-35,TSNE_KMEANS-35,SC3-40,UMAP_KMEANS-40,TSNE_KMEANS-40,SC3-45,UMAP_KMEANS-45,TSNE_KMEANS-45,SC3-50,UMAP_KMEANS-50,TSNE_KMEANS-50,SC3-55,UMAP_KMEANS-55,TSNE_KMEANS-55,SC3-60,UMAP_KMEANS-60,TSNE_KMEANS-60,SC3-65,UMAP_KMEANS-65,TSNE_KMEANS-65,SC3-70,UMAP_KMEANS-70,TSNE_KMEANS-70,SC3-75,UMAP_KMEANS-75,TSNE_KMEANS-75,SC3-80,UMAP_KMEANS-80,TSNE_KMEANS-80,SC3-85,UMAP_KMEANS-85,TSNE_KMEANS-85,SC3-90,UMAP_KMEANS-90,TSNE_KMEANS-90,SC3-95,UMAP_KMEANS-95,TSNE_KMEANS-95,SC3-100,UMAP_KMEANS-100,TSNE_KMEANS-100
Cell1,6,21,34,6,21,34,6,21,34,6,21,34,6,21,34,6,21,34,6,21,34,6,21,34,6,21,34,6,21,34,6,21,34,6,21,34,6,21,34,6,21,34,6,21,34,6,21,34,6,21,34,6,21,34,6,21,34,6,21,34,6,21,34
Cell10,40,20,19,40,20,19,40,20,19,40,20,19,40,20,19,40,20,19,40,20,19,40,20,19,40,20,19,40,20,19,40,20,19,40,20,19,40,20,19,40,20,19,40,20,19,40,20,19,40,20,19,40,20,19,40,20,19,40,20,19,40,20,19
Cell100,16,4,22,16,4,22,16,4,22,16,4,22,16,4,22,16,4,22,16,4,22,16,4,22,16,4,22,16,4,22,16,4,22,16,4,22,16,4,22,16,4,22,16,4,22,16,4,22,16,4,22,16,4,22,16,4,22,16,4,22,16,4,22
Cell1000,2,17,17,2,17,17,2,17,17,2,17,17,2,17,17,2,17,17,2,17,17,2,17,17,2,17,17,2,17,17,2,17,17,2,17,17,2,17,17,2,17,17,2,17,17,2,17,17,2,17,17,2,17,17,2,17,17,2,17,17,1,17,17
Cell1001,37,22,19,37,22,19,37,22,19,37,22,19,37,22,19,37,22,19,37,22,19,37,22,19,37,22,19,37,22,19,37,22,19,37,22,19,37,22,19,37,22,19,37,22,19,37,22,19,37,22,19,37,22,19,37,22,19,37,22,19,36,22,19
Cell1002,22,2,29,22,2,29,22,2,29,22,2,29,22,2,29,22,2,29,22,2,29,22,2,29,22,2,29,22,2,29,22,2,29,22,2,29,22,2,29,22,2,29,22,2,29,22,2,29,22,2,29,22,2,29,22,2,29,22,2,29,22,2,29
Cell1003,2,17,17,2,17,17,2,17,17,2,17,17,2,17,17,2,17,17,2,17,17,2,17,17,2,17,17,2,17,17,2,17,17,2,17,17,2,17,17,2,17,17,2,17,17,2,17,17,2,17,17,2,17,17,2,17,17,2,17,17,1,17,17
Cell1004,35,7,26,35,7,26,35,7,26,35,7,26,35,7,26,35,7,26,35,7,26,35,7,26,35,7,26,35,7,26,35,7,26,35,7,26,35,7,26,35,7,26,35,7,26,35,7,26,35,7,26,35,7,26,35,7,26,35,7,26,32,7,26
Cell1005,23,20,26,23,20,26,23,20,26,23,20,26,23,20,26,23,20,26,23,20,26,23,20,26,23,20,26,23,20,26,23,20,26,23,20,26,23,20,26,23,20,26,23,20,26,23,20,26,23,20,26,23,20,26,23,20,26,23,20,26,23,20,26
Cell1006,14,7,31,14,7,31,14,7,31,14,7,31,14,7,31,14,7,31,14,7,31,14,7,31,14,7,31,14,7,31,14,7,31,14,7,30,14,7,30,14,7,30,14,7,30,14,7,30,14,7,30,14,7,30,14,7,30,14,7,30,14,7,30
